id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6049,Aurora,Buchanan County,IA,Iowa,50607,City,42.61887,-91.7285,319,171,92,43889,1484633,0,America/Chicago
6050,Avoca,Pottawattamie County,IA,Iowa,51521,City,41.47666,-95.33805,712,1506,617,47679,6169979,0,America/Chicago
6051,Ayrshire,Palo Alto County,IA,Iowa,50515,City,43.03913,-94.83276,712,139,73,31875,536291,0,America/Chicago
6052,Badger,Webster County,IA,Iowa,50516,City,42.61441,-94.14607,515,547,170,52250,2827948,0,America/Chicago
6053,Bagley,Guthrie County,IA,Iowa,50026,City,41.8461,-94.42997,641,297,182,28125,800795,0,America/Chicago
6054,Baldwin,Jackson County,IA,Iowa,52207,City,42.07418,-90.84153,563,106,42,20625,940150,0,America/Chicago
6055,Balltown,Dubuque County,IA,Iowa,52073,City,42.63805,-90.86874,563,65,29,55625,188747,0,America/Chicago
6056,Bancroft,Kossuth County,IA,Iowa,50517,City,43.29274,-94.21802,515,716,315,39519,1425870,0,America/Chicago
6057,Bankston,Dubuque County,IA,Iowa,52045,City,42.51861,-90.96124,563,25,23,110903,707503,0,America/Chicago
6058,Barnes City,Poweshiek County/Mahaska County,IA,Iowa,50027,City,41.50706,-92.46962,641,176,94,34375,1534381,0,America/Chicago
6059,Barnum,Webster County,IA,Iowa,50518,City,42.50858,-94.36525,515,189,68,57045,950811,0,America/Chicago
6060,Bartlett,Fremont County,IA,Iowa,51654,CDP,40.885,-95.795,712,11,5,42034,1036615,0,America/Chicago
6061,Bassett,Chickasaw County,IA,Iowa,50645,City,43.06303,-92.51546,641,65,33,55938,954641,0,America/Chicago
6062,Batavia,Jefferson County,IA,Iowa,52533,City,40.99418,-92.1674,641,510,233,44861,1541246,0,America/Chicago
6063,Battle Creek,Ida County,IA,Iowa,51006,City,42.31554,-95.59861,712,700,333,38750,1291173,0,America/Chicago
6064,Baxter,Jasper County,IA,Iowa,50028,City,41.8261,-93.15159,641,1101,378,52222,1692688,0,America/Chicago
6065,Bayard,Guthrie County,IA,Iowa,50029,City,41.85193,-94.55831,712,460,204,42333,1186283,0,America/Chicago
6066,Beacon,Mahaska County,IA,Iowa,52534,City,41.27695,-92.67964,641,487,194,29063,2589812,0,America/Chicago
6067,Beaconsfield,Ringgold County,IA,Iowa,50074,City,40.80777,-94.05051,641,15,17,12917,1859429,1540,America/Chicago
6068,Beaman,Grundy County,IA,Iowa,50609,City,42.21971,-92.82353,641,191,73,46250,483330,20429,America/Chicago
6069,Beaver,Boone County,IA,Iowa,50212,City,42.03831,-94.14218,515,48,23,51875,645119,0,America/Chicago
6070,Beaverdale,Des Moines County,IA,Iowa,52655,CDP,40.8467,-91.20848,319,1194,379,59531,6309645,47414,America/Chicago
6071,Bedford,Taylor County,IA,Iowa,50833,City,40.66693,-94.72136,712,1404,676,36875,4150832,19724,America/Chicago
6072,Belle Plaine,Benton County,IA,Iowa,52208,City,41.89694,-92.27824,319,2489,1134,36071,8338645,30096,America/Chicago
6073,Bellevue,Jackson County,IA,Iowa,52031,City,42.25863,-90.42291,563,2167,1018,44128,3541197,179755,America/Chicago
6074,Belmond,Wright County,IA,Iowa,50421,City,42.84608,-93.6141,641,2322,1078,43895,7377626,0,America/Chicago
