id,name,county,state_code,state,zip_codes,type,latitude,longitude,area_code,population,households,median_income,land_area,water_area,time_zone
6217,Danbury,Woodbury County,IA,Iowa,51019,City,42.23416,-95.72223,712,342,177,38750,1048625,0,America/Chicago
6218,Danville,Des Moines County,IA,Iowa,52623,City,40.86448,-91.3146,319,934,382,49167,1954476,0,America/Chicago
6219,Davenport,Scott County,IA,Iowa,"52801, 52802, 52803, 52804, 52805, 52806, 52807, 52808, 52809",City,41.52364,-90.57764,563,102448,40739,44817,162894540,5501339,America/Chicago
6220,Davis City,Decatur County,IA,Iowa,50065,City,40.63917,-93.81161,641,195,83,40179,1527837,0,America/Chicago
6221,Dawson,Dallas County,IA,Iowa,50066,City,41.84276,-94.22246,515,139,46,30000,1278464,0,America/Chicago
6222,Dayton,Webster County,IA,Iowa,50530,City,42.26136,-94.06857,515,803,369,37014,2191789,0,America/Chicago
6223,Decatur City,Decatur County,IA,Iowa,50067,City,40.74194,-93.83383,641,188,72,36000,1029372,7906,America/Chicago
6224,Decorah,Winneshiek County,IA,Iowa,52101,City,43.30331,-91.78571,563,7957,2878,47619,18165243,64833,America/Chicago
6225,Dedham,Carroll County,IA,Iowa,51440,City,41.9061,-94.82221,712,264,103,48281,1499716,0,America/Chicago
6226,Deep River,Poweshiek County,IA,Iowa,52222,City,41.58028,-92.37491,641,275,127,41094,1101368,0,America/Chicago
6227,Defiance,Shelby County,IA,Iowa,51527,City,41.82415,-95.34278,712,280,110,45000,1020398,0,America/Chicago
6228,Delaware,Delaware County,IA,Iowa,52057,City,42.47527,-91.34542,563,156,93,42019,2073249,28633,America/Chicago
6229,Delhi,Delaware County,IA,Iowa,52223,City,42.42971,-91.33098,563,470,228,53824,2522207,140613,America/Chicago
6230,Delmar,Clinton County,IA,Iowa,52037,City,42.00225,-90.60708,563,505,198,55750,1967459,0,America/Chicago
6231,Deloit,Crawford County,IA,Iowa,51441,City,42.09777,-95.3225,712,265,120,33500,1080211,0,America/Chicago
6232,Delphos,Ringgold County,IA,Iowa,50860,City,40.6636,-94.3394,641,25,7,31875,576330,1486,America/Chicago
6233,Delta,Keokuk County,IA,Iowa,52550,City,41.32279,-92.33018,641,318,145,29432,2415731,0,America/Chicago
6234,Denison,Crawford County,IA,Iowa,51442,City,42.01777,-95.35528,712,8390,2666,43639,16917594,87403,America/Chicago
6235,Denmark,Lee County,IA,Iowa,52624,CDP,40.74171,-91.33737,319,361,191,47188,4301800,6929,America/Chicago
6236,Denver,Bremer County,IA,Iowa,50622,City,42.67137,-92.3374,319,1820,713,58450,4248318,35147,America/Chicago
6237,Derby,Lucas County,IA,Iowa,50068,City,40.93167,-93.45632,641,113,54,55313,673593,0,America/Chicago
6238,Des Moines,Warren County/Polk County,IA,Iowa,"50301, 50302, 50303, 50304, 50305, 50306, 50307, 50308, 50309, 50310, 50311, 50312, 50313, 50314, 50315, 50316, 50317, 50318, 50319, 50320, 50321, 50328, 50329, 50330, 50331, 50332, 50333, 50334, 50335, 50336, 50339, 50340, 50347, 50359, 50360, 50361, 50362, 50363, 50364, 50367, 50368, 50369, 50380, 50381, 50391, 50392, 50393, 50394, 50395, 50396, 50397, 50936, 50940, 50947, 50950, 50980, 50981, 50982, 50983",City,41.57259,-93.61024,515,209220,81894,45836,230329957,4657227,America/Chicago
6239,De Soto,Dallas County,IA,Iowa,50069,City,41.53166,-94.00967,515,1098,406,53643,3947607,5932,America/Chicago
6240,De Witt,Clinton County,IA,Iowa,52742,City,41.82336,-90.53819,563,5253,2212,60054,15505961,0,America/Chicago
6241,Dexter,Dallas County,IA,Iowa,50070,City,41.51832,-94.22635,515,638,295,55625,3242414,0,America/Chicago
6242,Diagonal,Ringgold County,IA,Iowa,50845,City,40.80943,-94.34218,641,328,113,36875,2341151,4786,America/Chicago
6243,Diamondhead Lake,Guthrie County,IA,Iowa,50070,CDP,41.55209,-94.26222,515,243,106,73438,1614328,411400,America/Chicago
6244,Dickens,Clay County,IA,Iowa,51333,City,43.13136,-95.0236,712,182,72,37500,2120397,0,America/Chicago
6245,Dike,Grundy County,IA,Iowa,50624,City,42.46415,-92.62825,319,1257,501,66776,3616762,0,America/Chicago
6246,Dixon,Scott County,IA,Iowa,52745,City,41.7428,-90.78237,563,248,77,44479,323221,0,America/Chicago
6247,Dolliver,Emmet County,IA,Iowa,50531,City,43.4644,-94.62526,712,66,46,57500,942727,0,America/Chicago
6248,Donahue,Scott County,IA,Iowa,52746,City,41.69475,-90.67542,563,369,142,66250,918646,0,America/Chicago
6249,Donnellson,Lee County,IA,Iowa,52625,City,40.64282,-91.5646,319,899,379,37132,3267755,0,America/Chicago
6250,Doon,Lyon County,IA,Iowa,51235,City,43.27942,-96.2328,712,588,236,44167,1485177,0,America/Chicago
6251,Douds,Van Buren County,IA,Iowa,52551,CDP,40.83947,-92.08657,641,24,24,36250,5728517,261817,America/Chicago
6252,Dougherty,Cerro Gordo County,IA,Iowa,50433,City,42.92219,-93.04214,641,57,34,43125,1422878,0,America/Chicago
6253,Dow City,Crawford County,IA,Iowa,51528,City,41.92888,-95.49389,712,505,259,36595,827409,0,America/Chicago
6254,Dows,Wright County/Franklin County,IA,Iowa,50071,City,42.66182,-93.50549,515,519,239,39350,1992375,66777,America/Chicago
6255,Drakesville,Davis County,IA,Iowa,52552,City,40.79835,-92.48158,641,186,91,34375,637324,0,America/Chicago
6256,Dubuque,Dubuque County,IA,Iowa,"52001, 52002, 52003, 52004, 52099",City,42.50056,-90.66457,563,58436,23932,44599,78840664,2802123,America/Chicago
6257,Dumont,Butler County,IA,Iowa,50625,City,42.75192,-92.97547,641,633,304,42386,4547619,0,America/Chicago
6258,Duncan,Hancock County,IA,Iowa,50423,CDP,43.10468,-93.71133,641,148,36,14750,2034242,18519,America/Chicago
6259,Duncombe,Webster County,IA,Iowa,50532,City,42.47053,-93.99356,515,392,191,44338,5198348,0,America/Chicago
6260,Dundee,Delaware County,IA,Iowa,52038,City,42.57915,-91.54654,563,170,85,48125,938453,0,America/Chicago
6261,Dunkerton,Black Hawk County,IA,Iowa,50626,City,42.56999,-92.16046,319,844,350,50833,2760320,25976,America/Chicago
6262,Dunlap,Harrison County/Crawford County,IA,Iowa,51529,City,41.85247,-95.60125,712,994,506,44048,2924328,41814,America/Chicago
6263,Durango,Dubuque County,IA,Iowa,52039,City,42.56028,-90.77568,563,24,9,32083,109605,0,America/Chicago
6264,Durant,Cedar County/Scott County/Muscatine County,IA,Iowa,52747,City,41.60148,-90.91194,563,1825,831,56042,2872600,0,America/Chicago
6265,Dyersville,Dubuque County/Delaware County,IA,Iowa,52040,City,42.48149,-91.1166,563,4149,1762,45327,17591244,17223,America/Chicago
6266,Dysart,Tama County,IA,Iowa,52224,City,42.17166,-92.3063,319,1367,587,52557,3225037,0,America/Chicago
6267,Eagle Grove,Wright County,IA,Iowa,50533,City,42.66414,-93.90439,515,3452,1322,45152,10464911,0,America/Chicago
6268,Earlham,Madison County,IA,Iowa,50072,City,41.49193,-94.12412,515,1403,653,58021,2505403,0,America/Chicago
6269,Earling,Shelby County,IA,Iowa,51530,City,41.77554,-95.4175,712,427,201,44250,1560830,0,America/Chicago
6270,Earlville,Delaware County,IA,Iowa,52041,City,42.48166,-91.27236,563,793,325,53542,1431062,0,America/Chicago
6271,Early,Sac County,IA,Iowa,50535,City,42.46137,-95.15194,712,532,271,38750,1013501,0,America/Chicago
6272,East Amana,Iowa County,IA,Iowa,52203,CDP,41.80917,-91.85101,319,31,17,55802,1849227,0,America/Chicago
6273,East Peru,Madison County,IA,Iowa,50222,City,41.22694,-93.92634,641,122,39,37188,2423969,0,America/Chicago
6274,Eddyville,Mahaska County/Wapello County/Monroe County,IA,Iowa,52553,City,41.15921,-92.62979,641,1016,433,38429,3059524,0,America/Chicago
6275,Edgewood,Clayton County/Delaware County,IA,Iowa,52042,City,42.64423,-91.40169,563,861,390,36875,2201381,0,America/Chicago
6276,Elberon,Tama County,IA,Iowa,52225,City,42.00611,-92.31685,319,193,69,53375,1692485,0,America/Chicago
6277,Eldon,Wapello County,IA,Iowa,52554,City,40.91863,-92.22296,641,915,431,32697,2882353,18358,America/Chicago
6278,Eldora,Hardin County,IA,Iowa,50627,City,42.36082,-93.09965,641,2698,975,45458,11209794,0,America/Chicago
6279,Eldridge,Scott County,IA,Iowa,52748,City,41.65809,-90.58458,563,6162,2170,55000,24733095,0,America/Chicago
6280,Elgin,Fayette County,IA,Iowa,52141,City,42.95748,-91.63071,563,655,295,36528,1714026,0,America/Chicago
6281,Elkader,Clayton County,IA,Iowa,52043,City,42.85387,-91.40542,563,1220,625,51250,3571118,101883,America/Chicago
6282,Elkhart,Polk County,IA,Iowa,50073,City,41.79165,-93.52216,515,716,285,51042,4085964,0,America/Chicago
6283,Elk Horn,Shelby County,IA,Iowa,51531,City,41.59166,-95.05999,712,647,256,45658,1993143,0,America/Chicago
6284,Elkport,Clayton County,IA,Iowa,52048,City,42.73971,-91.27791,563,36,15,29688,645771,0,America/Chicago
6285,Elk Run Heights,Black Hawk County,IA,Iowa,50707,City,42.46693,-92.25657,319,1131,466,53462,2751614,7782,America/Chicago
6286,Elliott,Montgomery County,IA,Iowa,51532,City,41.14916,-95.16388,712,336,155,35781,1079677,0,America/Chicago
6287,Ellston,Ringgold County,IA,Iowa,50074,City,40.84027,-94.10856,641,42,20,11250,575918,0,America/Chicago
6288,Ellsworth,Hamilton County,IA,Iowa,50075,City,42.31276,-93.57882,515,506,213,54306,2324029,0,America/Chicago
6289,Elma,Howard County,IA,Iowa,50628,City,43.24664,-92.43601,641,534,269,37574,3337307,0,America/Chicago
6290,Ely,Linn County,IA,Iowa,52227,City,41.87362,-91.58518,319,2001,718,97188,3731140,10462,America/Chicago
6291,Emerson,Mills County,IA,Iowa,51533,City,41.01722,-95.40222,712,426,165,43750,663400,0,America/Chicago
6292,Emmetsburg,Palo Alto County,IA,Iowa,50536,City,43.11274,-94.68304,712,3790,1640,40625,9868761,421897,America/Chicago
6293,Epworth,Dubuque County,IA,Iowa,52045,City,42.445,-90.93208,563,1943,698,66786,4173550,0,America/Chicago
6294,Essex,Page County,IA,Iowa,51638,City,40.83361,-95.30832,712,774,406,42500,3897439,0,America/Chicago
6295,Estherville,Emmet County,IA,Iowa,51334,City,43.40163,-94.83276,712,6121,2505,45718,13889294,0,America/Chicago
6296,Evansdale,Black Hawk County,IA,Iowa,50707,City,42.46915,-92.28102,319,4793,1873,46083,10487156,168986,America/Chicago
6297,Everly,Clay County,IA,Iowa,51338,City,43.15997,-95.3275,712,584,217,51705,2706946,42626,America/Chicago
6298,Exira,Audubon County,IA,Iowa,50076,City,41.59082,-94.87554,712,778,363,32813,2632347,0,America/Chicago
6299,Exline,Appanoose County,IA,Iowa,52555,City,40.64918,-92.84048,641,158,68,20625,2568464,0,America/Chicago
6300,Fairbank,Fayette County/Buchanan County,IA,Iowa,50629,City,42.64014,-92.04779,319,1107,471,53309,1848118,50215,America/Chicago
6301,Fairfax,Linn County,IA,Iowa,52228,City,41.91945,-91.78101,319,2409,794,81667,4993772,81565,America/Chicago
6302,Fairfield,Jefferson County,IA,Iowa,"52556, 52557",City,41.00863,-91.96267,641,9750,4036,45673,16256582,408265,America/Chicago
6303,Farley,Dubuque County,IA,Iowa,52046,City,42.44278,-91.00625,563,1639,518,70714,4173501,0,America/Chicago
6304,Farmersburg,Clayton County,IA,Iowa,52047,City,42.9611,-91.36791,563,278,114,45000,1039865,0,America/Chicago
6305,Farmington,Van Buren County,IA,Iowa,52626,City,40.64031,-91.74294,319,658,325,38977,1213538,0,America/Chicago
6306,Farnhamville,Webster County/Calhoun County,IA,Iowa,50538,City,42.27648,-94.40771,515,360,161,44375,1690677,16957,America/Chicago
6307,Farragut,Fremont County,IA,Iowa,51639,City,40.72194,-95.48082,712,449,274,47813,1051419,0,America/Chicago
6308,Fayette,Fayette County,IA,Iowa,52142,City,42.84193,-91.80211,563,1469,365,40491,3826595,0,America/Chicago
6309,Fenton,Kossuth County,IA,Iowa,50539,City,43.21969,-94.43053,515,264,144,47188,890163,0,America/Chicago
6310,Ferguson,Marshall County,IA,Iowa,50078,City,41.93693,-92.86575,641,127,57,44792,660700,0,America/Chicago
6311,Fertile,Worth County,IA,Iowa,50434,City,43.2644,-93.41826,641,374,151,43750,2432030,0,America/Chicago
6312,Floris,Davis County,IA,Iowa,52560,City,40.86502,-92.33296,641,140,71,45875,1253383,0,America/Chicago
6313,Floyd,Floyd County,IA,Iowa,50435,City,43.12775,-92.7363,641,330,159,40208,1544990,0,America/Chicago
6314,Fonda,Pocahontas County,IA,Iowa,50540,City,42.58137,-94.8461,712,613,239,40375,2710777,0,America/Chicago
6315,Fontanelle,Adair County,IA,Iowa,50846,City,41.28971,-94.56164,641,653,321,30750,2475331,0,America/Chicago
6316,Forest City,Hancock County/Winnebago County,IA,Iowa,50436,City,43.25697,-93.63641,641,3982,1742,44327,12022255,0,America/Chicago
6317,Fort Atkinson,Winneshiek County,IA,Iowa,52144,City,43.14331,-91.93266,563,337,157,38750,810861,0,America/Chicago
6318,Fort Dodge,Webster County,IA,Iowa,50501,City,42.49747,-94.16802,515,24594,10329,36972,41574201,663141,America/Chicago
6319,Fort Madison,Lee County,IA,Iowa,52627,City,40.62976,-91.31515,319,10764,4396,41612,24584087,9680849,America/Chicago
6320,Fostoria,Clay County,IA,Iowa,51301,City,43.24219,-95.15555,712,240,36,43750,1057063,0,America/Chicago
6321,Franklin,Lee County,IA,Iowa,52656,City,40.66809,-91.51127,319,142,52,43750,385970,0,America/Chicago
6322,Fraser,Boone County,IA,Iowa,50036,City,42.1272,-93.96495,515,102,47,59583,2152318,130222,America/Chicago
6323,Fredericksburg,Chickasaw County,IA,Iowa,50630,City,42.96525,-92.19962,563,926,479,37802,2231683,0,America/Chicago
6324,Frederika,Bremer County,IA,Iowa,50676,City,42.88165,-92.30823,319,182,67,48125,516726,0,America/Chicago
6325,Fredonia,Louisa County,IA,Iowa,52738,City,41.28475,-91.33877,319,239,95,49583,428762,0,America/Chicago
6326,Fremont,Mahaska County,IA,Iowa,52561,City,41.21251,-92.43546,641,736,269,39297,2674221,0,America/Chicago
6327,Fruitland,Muscatine County,IA,Iowa,52749,City,41.35614,-91.12932,563,977,407,75875,4663500,0,America/Chicago
6328,Frytown,Johnson County,IA,Iowa,52247,CDP,41.57001,-91.73239,319,72,28,61665,2098214,0,America/Chicago
6329,Galt,Wright County,IA,Iowa,50101,City,42.69358,-93.60549,515,31,25,38750,1387704,0,America/Chicago
6330,Galva,Ida County,IA,Iowa,51020,City,42.50693,-95.41722,712,435,210,43676,1843818,0,America/Chicago
6331,Garber,Clayton County,IA,Iowa,52048,City,42.74193,-91.26208,563,86,44,48333,595056,0,America/Chicago
6332,Garden City,Hardin County,IA,Iowa,50102,CDP,42.24554,-93.39549,515,44,35,163011,2583283,0,America/Chicago
6333,Garden Grove,Decatur County,IA,Iowa,50103,City,40.82722,-93.60716,641,202,75,39911,1795563,0,America/Chicago
6334,Garnavillo,Clayton County,IA,Iowa,52049,City,42.8686,-91.23596,563,729,343,48992,2648110,0,America/Chicago
6335,Garner,Hancock County,IA,Iowa,50438,City,43.10246,-93.60188,641,3095,1148,57806,5321776,0,America/Chicago
6336,Garrison,Benton County,IA,Iowa,52229,City,42.14416,-92.14379,319,365,122,55000,638863,0,America/Chicago
6337,Garwin,Tama County,IA,Iowa,50632,City,42.0936,-92.67575,641,512,190,52500,2605052,0,America/Chicago
6338,Geneva,Franklin County,IA,Iowa,50633,City,42.67553,-93.12937,641,162,63,27321,1094070,0,America/Chicago
6339,George,Lyon County,IA,Iowa,51237,City,43.34386,-96.00224,712,1059,466,45385,6209723,12058,America/Chicago
6340,Gibson,Keokuk County,IA,Iowa,50104,City,41.48112,-92.39352,641,60,31,34375,171482,0,America/Chicago
6341,Gilbert,Story County,IA,Iowa,50105,City,42.10693,-93.64966,515,1099,409,78558,2545477,0,America/Chicago
6342,Gilbertville,Black Hawk County,IA,Iowa,50634,City,42.4161,-92.2149,319,749,318,48333,1031556,0,America/Chicago
6343,Gillett Grove,Clay County,IA,Iowa,51341,City,43.0158,-95.03749,712,48,36,25000,574842,143,America/Chicago
6344,Gilman,Marshall County,IA,Iowa,50106,City,41.87888,-92.78936,641,507,297,49125,1401423,0,America/Chicago
6345,Gilmore City,Pocahontas County/Humboldt County,IA,Iowa,50541,City,42.7269,-94.43691,515,501,208,43235,3228226,0,America/Chicago
6346,Gladbrook,Tama County,IA,Iowa,50635,City,42.18776,-92.7152,641,897,356,61818,1803240,0,America/Chicago
6347,Glenwood,Mills County,IA,Iowa,51534,City,41.04694,-95.74251,712,5242,1814,61369,7636251,26319,America/Chicago
6348,Glidden,Carroll County,IA,Iowa,51443,City,42.05693,-94.72887,712,1131,534,50333,2865506,0,America/Chicago
6349,Goldfield,Wright County,IA,Iowa,50542,City,42.7358,-93.92078,515,612,303,36806,3091340,0,America/Chicago
6350,Goodell,Hancock County,IA,Iowa,50439,City,42.92302,-93.61632,641,135,72,37143,1107635,0,America/Chicago
6351,Goose Lake,Clinton County,IA,Iowa,52750,City,41.96753,-90.38291,563,236,82,68125,817468,0,America/Chicago
6352,Gowrie,Webster County,IA,Iowa,50543,City,42.28053,-94.2908,515,990,429,45313,3752089,0,America/Chicago
6353,Graettinger,Palo Alto County,IA,Iowa,51342,City,43.23774,-94.75137,712,813,359,37361,1992715,0,America/Chicago
6354,Graf,Dubuque County,IA,Iowa,52039,City,42.49306,-90.87124,563,78,26,73333,342220,0,America/Chicago
6355,Grafton,Worth County,IA,Iowa,50440,City,43.32996,-93.06937,641,255,140,35417,842352,0,America/Chicago
6356,Grand Junction,Greene County,IA,Iowa,50107,City,42.03165,-94.2408,515,807,320,37969,2504853,0,America/Chicago
6357,Grand Mound,Clinton County,IA,Iowa,52751,City,41.82419,-90.64792,563,623,224,56875,4712186,0,America/Chicago
6358,Grand River,Decatur County,IA,Iowa,50108,City,40.81944,-93.96245,641,226,135,23542,538622,0,America/Chicago
6359,Grandview,Louisa County,IA,Iowa,52752,City,41.27586,-91.18848,319,535,205,48750,587024,0,America/Chicago
6360,Granger,Dallas County/Polk County,IA,Iowa,50109,City,41.76197,-93.82477,515,1416,465,67083,3940063,0,America/Chicago
6361,Grant,Montgomery County,IA,Iowa,50847,City,41.14277,-94.98471,712,90,34,38750,1911250,26548,America/Chicago
6362,Granville,Sioux County,IA,Iowa,51022,City,42.98554,-95.87363,712,316,133,41563,741693,0,America/Chicago
6363,Gravity,Taylor County,IA,Iowa,50848,City,40.76054,-94.74358,712,185,82,37500,772969,0,America/Chicago
6364,Gray,Audubon County,IA,Iowa,50025,City,41.83943,-94.98304,712,59,46,29167,2578569,0,America/Chicago
6365,Greeley,Delaware County,IA,Iowa,52050,City,42.58582,-91.34153,563,251,115,46406,963817,0,America/Chicago
6366,Greene,Floyd County/Butler County,IA,Iowa,50636,City,42.89676,-92.80393,641,1127,520,44375,2942018,194064,America/Chicago
6367,Greenfield,Adair County,IA,Iowa,50849,City,41.30527,-94.46135,641,1939,913,43207,4697097,0,America/Chicago
6368,Green Mountain,Marshall County,IA,Iowa,50632,CDP,42.10165,-92.82048,641,194,71,53125,1776069,0,America/Chicago
6369,Greenville,Clay County,IA,Iowa,51343,City,43.01664,-95.1461,712,74,24,38750,429417,0,America/Chicago
6370,Grimes,Dallas County/Polk County,IA,Iowa,50111,City,41.67882,-93.80279,515,9786,3353,66763,30368057,58222,America/Chicago
6371,Grinnell,Poweshiek County,IA,Iowa,50112,City,41.74305,-92.72241,641,9069,3578,45495,14257758,106334,America/Chicago
6372,Griswold,Cass County,IA,Iowa,51535,City,41.23499,-95.13749,712,994,434,43553,1594439,0,America/Chicago
6373,Grundy Center,Grundy County,IA,Iowa,50638,City,42.36165,-92.76853,319,2705,1136,51667,6545384,0,America/Chicago
6374,Gruver,Emmet County,IA,Iowa,51334,City,43.39329,-94.70526,712,94,37,51875,337118,0,America/Chicago
6375,Guernsey,Poweshiek County,IA,Iowa,52221,City,41.64861,-92.34268,319,62,31,46875,476683,0,America/Chicago
6376,Guthrie Center,Guthrie County,IA,Iowa,50115,City,41.67721,-94.5033,641,1523,695,36992,6396560,0,America/Chicago
6377,Guttenberg,Clayton County,IA,Iowa,52052,City,42.78582,-91.09957,563,1861,811,36028,5415175,72038,America/Chicago
6378,Halbur,Carroll County,IA,Iowa,51444,City,42.00693,-94.96999,712,242,76,63333,505021,0,America/Chicago
6379,Hamburg,Fremont County,IA,Iowa,51640,City,40.60445,-95.65777,712,1105,461,31629,2843866,1224,America/Chicago
6380,Hamilton,Marion County,IA,Iowa,50044,City,41.16917,-92.90326,641,130,62,48148,1406012,0,America/Chicago
6381,Hampton,Franklin County,IA,Iowa,50441,City,42.74192,-93.20242,641,4343,1790,46399,11472055,0,America/Chicago
6382,Hancock,Pottawattamie County,IA,Iowa,51536,City,41.38999,-95.3625,712,194,99,46719,1928644,64156,America/Chicago
6383,Hanlontown,Worth County,IA,Iowa,50444,City,43.28023,-93.37882,641,228,76,58750,2517563,0,America/Chicago
6384,Hansell,Franklin County,IA,Iowa,50441,City,42.75775,-93.10409,641,96,43,40625,589068,0,America/Chicago
6385,Harcourt,Webster County,IA,Iowa,50544,City,42.26275,-94.17579,515,293,111,44875,2602622,0,America/Chicago
6386,Hardy,Humboldt County,IA,Iowa,50545,City,42.81053,-94.05134,515,46,24,56667,1143295,0,America/Chicago
6387,Harlan,Shelby County,IA,Iowa,"51537, 51593",City,41.65304,-95.32555,712,5013,2258,43047,11375396,0,America/Chicago
6388,Harper,Keokuk County,IA,Iowa,52231,City,41.36251,-92.05101,641,112,52,41250,230103,0,America/Chicago
6389,Harpers Ferry,Allamakee County,IA,Iowa,52146,City,43.20054,-91.15319,563,323,194,37955,1622922,48103,America/Chicago
6390,Harris,Osceola County,IA,Iowa,51345,City,43.44524,-95.43417,712,165,61,44375,2052373,0,America/Chicago
6391,Hartford,Warren County,IA,Iowa,50118,City,41.45944,-93.40493,515,760,278,50882,2540211,0,America/Chicago
6392,Hartley,O'Brien County,IA,Iowa,51346,City,43.17997,-95.47695,712,1628,731,36927,3361268,0,America/Chicago
6393,Hartwick,Poweshiek County,IA,Iowa,52232,City,41.78472,-92.34352,319,85,31,56250,346751,0,America/Chicago
6394,Harvey,Marion County,IA,Iowa,50119,City,41.31583,-92.92409,641,236,135,45250,1752167,0,America/Chicago
6395,Hastings,Mills County,IA,Iowa,51540,City,41.02278,-95.49917,712,150,82,26667,1053495,0,America/Chicago
6396,Havelock,Pocahontas County,IA,Iowa,50546,City,42.83608,-94.70054,712,136,75,24792,1469998,0,America/Chicago
6397,Haverhill,Marshall County,IA,Iowa,50120,City,41.94499,-92.96075,641,175,69,71250,341459,0,America/Chicago
6398,Hawarden,Sioux County,IA,Iowa,51023,City,42.99582,-96.48531,712,2543,1010,45202,7473930,344322,America/Chicago
6399,Hawkeye,Fayette County,IA,Iowa,52147,City,42.93859,-91.95017,563,428,184,36667,1739643,0,America/Chicago
6400,Hayesville,Keokuk County,IA,Iowa,52591,City,41.26446,-92.24907,641,49,22,19250,654666,0,America/Chicago
6401,Hayfield,Hancock County,IA,Iowa,50438,CDP,43.17663,-93.69522,641,25,8,33483,2131539,0,America/Chicago
6402,Hazleton,Buchanan County,IA,Iowa,50641,City,42.62082,-91.90017,319,820,369,40313,1930061,95137,America/Chicago
6403,Hedrick,Keokuk County,IA,Iowa,52563,City,41.17251,-92.30879,641,749,379,36103,3972688,0,America/Chicago
6404,Henderson,Mills County,IA,Iowa,51541,City,41.14055,-95.43111,712,183,71,30938,554472,0,America/Chicago
6405,Hepburn,Page County,IA,Iowa,51632,City,40.84916,-95.0172,712,23,18,16250,200494,0,America/Chicago
6406,Hiawatha,Linn County,IA,Iowa,52233,City,42.03583,-91.68212,319,7157,3136,48083,11364964,14085,America/Chicago
6407,High Amana,Iowa County,IA,Iowa,52203,CDP,41.80334,-91.93823,319,135,90,41974,996792,0,America/Chicago
6408,Hills,Johnson County,IA,Iowa,52235,City,41.55419,-91.53489,319,806,294,47500,2190764,0,America/Chicago
6409,Hillsboro,Henry County,IA,Iowa,52630,City,40.8367,-91.71572,319,182,95,25795,1310903,0,America/Chicago
6410,Hinton,Plymouth County,IA,Iowa,51024,City,42.62777,-96.29169,712,943,327,65096,1787353,0,America/Chicago
6411,Holiday Lake,Poweshiek County,IA,Iowa,52211,CDP,41.82103,-92.44321,641,589,283,71042,3996385,412285,America/Chicago
6412,Holland,Grundy County,IA,Iowa,50642,City,42.39887,-92.80048,319,279,105,43250,644793,0,America/Chicago
6413,Holstein,Ida County,IA,Iowa,51025,City,42.48915,-95.545,712,1393,639,48024,4079886,23826,America/Chicago
6414,Holy Cross,Dubuque County,IA,Iowa,52053,City,42.60055,-90.99569,563,378,148,38333,848663,0,America/Chicago
6415,Homestead,Iowa County,IA,Iowa,52236,CDP,41.75945,-91.86712,319,108,54,30250,4439423,0,America/Chicago
6416,Hopkinton,Delaware County,IA,Iowa,52237,City,42.34389,-91.24848,563,611,289,44375,1608480,0,America/Chicago
6417,Hornick,Woodbury County,IA,Iowa,51026,City,42.23055,-96.09752,712,225,80,45625,654891,13417,America/Chicago
6418,Hospers,Sioux County,IA,Iowa,51238,City,43.07193,-95.90446,712,712,331,46838,1404709,0,America/Chicago
6419,Houghton,Lee County,IA,Iowa,52625,City,40.78364,-91.60294,319,145,42,63750,807845,0,America/Chicago
6420,Hubbard,Hardin County,IA,Iowa,50122,City,42.30554,-93.30021,641,829,371,47716,4764453,0,America/Chicago
6421,Hudson,Black Hawk County,IA,Iowa,50643,City,42.40665,-92.45547,319,2369,900,85375,21765506,183184,America/Chicago
6422,Hull,Sioux County,IA,Iowa,51239,City,43.18859,-96.13363,712,2227,794,54125,3390362,0,America/Chicago
6423,Humboldt,Humboldt County,IA,Iowa,50548,City,42.7208,-94.21524,515,4625,2059,43949,11965996,401117,America/Chicago
6424,Humeston,Wayne County,IA,Iowa,50123,City,40.85889,-93.49744,641,491,204,34375,1579180,26536,America/Chicago
6425,Hutchins,Hancock County,IA,Iowa,50423,CDP,43.09163,-93.88106,641,10,6,33483,782248,0,America/Chicago
6426,Huxley,Story County,IA,Iowa,50124,City,41.89527,-93.60077,515,3484,1246,65254,8109047,0,America/Chicago
6427,Ida Grove,Ida County,IA,Iowa,51445,City,42.34499,-95.47167,712,2121,1045,36782,5594098,23507,America/Chicago
6428,Imogene,Fremont County,IA,Iowa,51645,City,40.87944,-95.42694,712,68,25,36250,518473,0,America/Chicago
6429,Independence,Buchanan County,IA,Iowa,50644,City,42.4686,-91.88934,319,5986,2506,52710,15734493,359126,America/Chicago
6430,Indianola,Warren County,IA,Iowa,50125,City,41.35805,-93.55744,515,15305,5525,52779,29131927,0,America/Chicago
6431,Inwood,Lyon County,IA,Iowa,51240,City,43.3072,-96.43198,712,817,334,45417,3459313,0,America/Chicago
6432,Ionia,Chickasaw County,IA,Iowa,50645,City,43.03414,-92.45601,641,288,147,36719,1425801,0,America/Chicago
6433,Iowa City,Johnson County,IA,Iowa,"52240, 52242, 52243, 52244, 52245, 52246",City,41.66113,-91.53017,319,73415,28278,41410,67046425,703341,America/Chicago
6434,Iowa Falls,Hardin County,IA,Iowa,50126,City,42.52248,-93.25131,641,5173,2224,45104,13882071,200897,America/Chicago
6435,Ireton,Sioux County,IA,Iowa,51027,City,42.97471,-96.31836,712,604,260,48889,2608347,0,America/Chicago
6436,Irvington,Kossuth County,IA,Iowa,50560,CDP,43.00747,-94.19552,515,15,4,41395,2427440,0,America/Chicago
6437,Irwin,Shelby County,IA,Iowa,51446,City,41.79165,-95.20583,712,334,181,40781,1544693,0,America/Chicago
